event,description,latitude,longitude,event_url,start_date_time,end_date_time,image_logo,venue,address
PRIME Music Festival - Raleigh,"PRIME MUSIC FESTIVAL - RALEIGH, NC Ft. Zeds Dead, Trippie Redd, Matoma, MadeinTYO, Justin Caruso, LU..",35.7738011,-78.6430874,https://www.eventbrite.com/e/prime-music-festival-raleigh-tickets-44037322818?aff=ebapi,2018-04-14T16:00:00,2018-04-14T23:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42095687%2F107981700581%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C0%2C2160%2C1080&s=272af37b9b690ca21a5d70481181c21d,Red Hat Amphitheater,"500 South McDowell Street, Raleigh, NC 27601"
"CHIEF OBI at THE RICH N CULTURE AFRICAN GALA, OFFICIAL OWANBE",MC ONE NIGERIA'S FINEST CELEBRITY COMEDIANS/ARTIST CHIEF OBI MUSIC BY CONGO BRAZAVILLE OWN DJ SARKO ..,35.8857022,-78.5803682,https://www.eventbrite.com/e/chief-obi-at-the-rich-n-culture-african-gala-official-owanbe-tickets-43775728382?aff=ebapi,2018-04-14T20:00:00,2018-04-15T02:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42038058%2F142207233921%2F1%2Foriginal.jpg?h=200&w=450&rect=6%2C0%2C748%2C374&s=4e54227aec31f023d50978013f66df79,Carolina Events & Cultural Center,"3209 Gresham Lake Road ## 146, Raleigh, NC 27615"
@Hiphopmedia_nc Presents Trap N Paint @the Lynk Glenwood,A REAL Trap N Paint is finally in Raleigh Get all tha girls and get ready to come down and turn up o..,35.7857626,-78.6468162,https://www.eventbrite.com/e/hiphopmedia-nc-presents-trap-n-paint-the-lynk-glenwood-tickets-43914538567?aff=ebapi,2018-04-11T19:00:00,2018-04-12T02:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42383028%2F238653547095%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C73%2C2100%2C1050&s=1ac40c576f5b52acf99a0e8762109577,The Lynk,"410 Glenwood Avenue #140, Raleigh, NC 27603"
Krimson Kouture,KRIMSON ALERT!! Please keep fresh in your minds!! Join the Knightdale-Wake Forest Alumnae Chapter of..,35.7748304,-78.6391674,https://www.eventbrite.com/e/krimson-kouture-tickets-43670863729?aff=ebapi,2018-04-14T22:00:00,2018-04-15T02:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41808357%2F49146556454%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C18%2C1274%2C637&s=4af0dca26071b1c260621e10a6079b30,Tulum Restaurante & Bar,"411 Fayetteville Street, Raleigh, NC 27601"
Brian Dawson Presents- Solas On Fridays!!!!,Friday nights haven't been the same since BD Entertainment started Solas On Fridays. It is the most ..,35.785683,-78.647758,https://www.eventbrite.com/e/brian-dawson-presents-solas-on-fridays-tickets-42970149875?aff=ebapi,2018-04-13T22:00:00,2018-04-14T02:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F40647753%2F26290756%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C829%2C1748%2C874&s=8bf275bd1f70fdb6e10ad0191d82f1e6,Solas,"419 Glenwood Avenue, Raleigh, NC 27603"
Ultra Mas - Soca Frenzy & Costume Reveal,ULTRA MAS BAND PRESENTS ☯ FRIDAY APRIL 13TH ☯ ✭✮✯✰☆ SOCA FRENZY & COSTUME REVEAL ☆✰✯✮✭ LIVE MODELS┃C..,35.8147047,-78.6251792,https://www.eventbrite.com/e/ultra-mas-soca-frenzy-costume-reveal-tickets-44199931184?aff=ebapi,2018-04-13T22:00:00,2018-04-14T03:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42230170%2F248697948148%2F1%2Foriginal.jpg?h=200&w=450&rect=21%2C176%2C574%2C287&s=93b8191eed8fd00ae7d734547a95ec4f,Reign Lounge,"808 W Hodges Street, Raleigh, NC 27608"
POOLED by Moses T. Alexander Greene,"Under the music direction of Carolyn Colquitt and with a score of soul-cleansing gospel, sultry R&B,..",35.8735554,-78.7024401,https://www.eventbrite.com/e/pooled-by-moses-t-alexander-greene-tickets-43978979311?aff=ebapi,2018-04-15T16:00:00,2018-04-15T18:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42042118%2F141953547460%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C782%2C1564%2C782&s=48a1746a735f241a2f5ca9fbea85de89,Baptist Grove Church,"7109 Leesville Road, Raleigh, NC 27613"
FFT presents Dining with Christian Season 5 MasterChef Finalist - North Carolina,The Dining event you’ve been waiting for is finally here! Food Fashion Taste presents the City to Ci..,35.7874185,-78.8272897,https://www.eventbrite.com/e/fft-presents-dining-with-christian-season-5-masterchef-finalist-north-carolina-tickets-41541073469?aff=ebapi,2018-04-14T20:00:00,2018-04-14T22:30:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42042118%2F141953547460%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C782%2C1564%2C782&s=48a1746a735f241a2f5ca9fbea85de89,Baptist Grove Church,"7109 Leesville Road, Raleigh, NC 27613"
The Underground | 5th Annual Fashion Show Fundraiser,"Last year, Anthem, Fashion with Purpose fashion showcased a new chapter in our young people's lives...",35.7783611,-78.6359778,https://www.eventbrite.com/e/the-underground-5th-annual-fashion-show-fundraiser-tickets-43361888576?aff=ebapi,2018-04-14T18:30:00,2018-04-14T21:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41171504%2F204831681789%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C394%2C1500%2C750&s=335692dabd64bbc34864e90927e3432c,IMAX's Venture Hall @ Marbles Kids Museum,"201 East Hargett Street, Raleigh, NC 27601"
"Consuming Fire Conference - Raleigh/Durham, NC 2018",Come be a part of the Consuming Fire Conference at Catch the Fire Raleigh/Durham. We are expecting t..,35.9251,-78.8141,https://www.eventbrite.com/e/consuming-fire-conference-raleighdurham-nc-2018-tickets-38772380233?aff=ebapi,2018-04-12T19:00:00,2018-04-14T22:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F38230705%2F31606371655%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C60%2C1920%2C960&s=aa2fd72fe44753572ea5bea6f83d6bbd,Catch the Fire Worship Center,"2304 Page Rd, Durham, NC 27703"
The Queen's Guard: 7:00PM SHOW,"ABOUT THE ARTISTS A community of artists seasoned in the Gospel, R&B and Funk scenes across the coun..",35.996634,-78.903935,https://www.eventbrite.com/e/the-queens-guard-700pm-show-tickets-43890347210?aff=ebapi,2018-04-14T19:00:00,2018-04-14T20:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41803999%2F169638655073%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C36%2C810%2C405&s=c7b5334cc8d8de38f266cc8b12e2995d,Beyu Caffe,"341 West Main Street, Durham, NC 27701"
The Queen's Guard: 9:00PM SHOW,"ABOUT THE ARTISTS A community of artists seasoned in the Gospel, R&B and Funk scenes across the coun..",35.996634,-78.903935,https://www.eventbrite.com/e/the-queens-guard-900pm-show-tickets-43890626044?aff=ebapi,2018-04-14T21:00:00,2018-04-14T22:00:00,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41804099%2F169638655073%2F1%2Foriginal.jpg?h=200&w=450&rect=0%2C36%2C810%2C405&s=4129095b0723d59baa651ced74cb9685,Beyu Caffe,"341 West Main Street, Durham, NC 27701"
